titles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
The Shawshank Redemption,0.0041793857788740875,0.00021546540288159638,0.0,0.0,7.899844890062394e-05,0.0,0.021814265640282056,0.0006244321148016469,0.03577684201239569,0.0,1.3851701291286232e-05,0.0003906908419829571,0.00037305949438345244,0.0,0.0,0.0,0.0018870100630397188,0.0,0.0,0.0001653881574801502,0.0,0.0,0.000347948162086613,0.0,0.0,0.0035174967197007952,9.074785469177452e-06,0.0,0.0,0.0,3.696613955966386e-05,0.0,0.0001999147334965099,0.0003091366457552269,0.0,0.0005723997105785699,0.00032028132514151436,0.0,0.0,0.0,0.0,0.0013230115093986398,0.0001347566046710183,0.0,0.00010707494645210038,0.0,0.0,0.0,0.0,0.0004888336144322706,0.0,0.0008008579894952844,0.0008523320887550086,0.0,0.0005981041181263055,0.0,0.0,0.0,0.0,0.0,0.0003395185922084525,0.0,0.0007139331254177627,0.0,0.0,0.0,0.0,0.0,0.0019521020058017558,0.00015586257874604232,0.0021980738317491167,0.0012557135632022445,0.0,0.0,0.0,0.0018681106753257125,0.0,0.0,0.0,0.0,0.0,0.0,0.00028811908144054673,0.0,0.0,0.00010734843240207488,0.0,0.0,0.002227338105332908,0.0,0.0,0.0035588368811590226,0.0008688476554226179,0.0,0.0,0.003226588024442395,0.0,0.002276321893339149,0.0,0.0,0.9990781417690676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Godfather,0.0,0.0,0.0,0.0,0.0,0.022450657169756832,0.0,0.0,0.0,0.0,0.0,0.0,0.00020354889992487687,3.956894716125613e-05,0.0016089210019071965,0.0,0.0008168042052048256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051918446879674e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004331931296983364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891149102489358e-05,0.0,0.0,0.0,0.019330297241348247,0.0,0.0,0.0,0.00012365501865906528,1.6244704036463587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006939590702264458,0.0,0.0,0.0,0.0,0.0,0.05529300790560772,0.0009180355026242091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005489832747773106,0.0,0.0,0.0,0.705712356969401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705712356969401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheels,0.0,0.0,0.023049934251260625,0.0,0.0,0.0,0.0,0.0,0.0322617534544764,0.0,0.0,0.0,0.0,0.03456552982698763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002333636873622126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000303652348405177,0.0,0.0,0.0,0.0,0.0,0.0,2.9091415669553014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1459588787547326e-05,0.0017128153758389612,0.0,0.0,0.0,0.0,0.0,0.0,0.0008499335801198755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090171865269275,0.0,0.0,0.08725549951882419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990629731093056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Dark Knight,0.0,0.0,0.0,0.0,0.0,0.0007152796351790224,0.0,0.00019213515697708152,0.0,0.0,0.00045674510951206016,0.00034427905169722594,0.0,0.0,0.0,0.00015403317147843527,0.01340532808508108,7.710309620954034e-05,0.0,0.0,0.0,0.0003303051794263215,0.0,0.000260621802662643,0.004575164205133745,0.0,0.0,0.0,0.0,0.0001261102834334091,0.0,0.0,6.975179094004934e-05,0.0,0.0,0.0,0.0,0.00016743370720145097,0.0,1.2398414854212508e-05,0.0,0.00018756009309228377,0.0,0.0,3.5125282473215954e-05,0.0,0.0,0.0,0.000521717821856304,0.0,0.00022103420326850573,0.0,0.0,0.012785975000111511,0.0004611069142821066,0.0,0.0,0.00038384463285715545,0.00048449570022079496,0.0006423285675632718,0.0,0.0,0.0,0.0,0.0,0.0,0.003425076615421876,0.002074162011399919,0.0010709588778132111,0.0,7.399486103445064e-05,0.0,0.0,0.0016778476169670862,0.0,0.0009140102736456758,0.0012482513107994633,0.0,0.0,0.006678209170834726,0.0,0.0,0.0,0.0012719522315576578,0.0011582751046835646,0.0,0.0,0.0018446605029854132,0.0017649840846421735,0.0,0.0,0.0,0.000112482647371264,0.0042804523374430714,0.0,0.002356857336330053,0.001931486052761548,0.0,0.00040057386040540246,0.0,0.5772143266568279,0.0,0.0,0.0,0.5772143266568279,0.0,0.0,0.0,0.5772143266568279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Godfather: Part II,0.0,0.0,0.04562675907984057,0.020466215919534993,0.0,0.020818840954136705,0.0,0.0,0.0,0.0,0.0,0.0,0.0057672209759580696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.893445946344914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015551525386032336,2.7499185592215442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04424065908688937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7052778038412616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7052778038412616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lord of the Rings: The Return of the King,0.0,0.0,0.0,0.0,9.557601399975758e-05,0.0,0.0,0.00020321985768458954,0.0018566806848517492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015079595541245914,0.0,0.0,0.0,5.402941770515996e-05,0.0,0.0,0.0,0.0,0.00026590717263872153,0.0,0.0008077794328755539,0.0,0.0,5.6762907073420197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85059536191294e-05,0.0003899379559165251,0.0,0.0,0.0029628219862521603,0.0,0.0,0.0,0.0,0.0002777844702607462,0.0,0.0,2.9380871067924093e-05,9.671582895799498e-05,0.0,0.0,0.0,0.0,0.0003297846029847334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4830405599675883e-05,0.0,0.0,0.0,0.0002213664612158282,0.0,0.0,0.0,0.0,0.028625801964480845,0.0,0.0,0.0,0.0,0.000872646869128643,0.0,0.0,0.0,0.0008434187078424471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003873353842237269,0.0,0.0,0.0,0.0,0.5770436556866827,0.0,0.0,0.0,0.0,0.0,0.0,0.5770436556866827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5770436556866827,0.0,0.0,0.0,0.0
Pulp Fiction,0.0,0.0,0.0,0.024868212392161793,0.0,0.023910547628365492,0.0007523215173591341,0.0,0.020785886836429745,0.0,0.0,0.0,0.0,0.0,0.0004618990155104849,0.0,0.0002424991411721112,0.0,0.0,0.0005254237166988792,0.0,0.0,0.017134986624181794,0.0,0.0,0.0,4.394973878620269e-07,0.0,0.0021483804175831582,0.0,0.0001253916413156171,0.0,0.0,0.0,0.0,0.0,0.00014378284770112592,0.0,0.00011022557221080543,0.0,0.0002549772308468705,0.0,0.000274771229393079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400007255530549e-05,0.0,0.0,0.0,0.0,0.000971413628501048,0.0,0.0,0.0,0.0,0.0,0.0,0.0001071629464013903,0.0,0.0,0.0,0.0,0.0,0.0,0.003477684447175944,0.0,0.0,0.0,0.0,0.0,0.03837443686428336,0.0,0.0,0.0,0.005125631961038236,0.004225890378071389,0.0012232325381483962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058849062581473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058849062581473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schindler's List,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184369319605146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005255177315064171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949767808708655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001155423261878133,0.0,0.011589848775239865,0.0,0.0,0.00019078945577469435,0.0030564333227947886,7.94035908195686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000564771843132994,0.0,0.0,0.0,0.0005370113282174335,0.0,0.0,0.0,0.0,0.0,0.00017631086802024165,0.0,0.00045052324296805397,0.0,0.0003797622268621771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772023759110432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772023759110432,0.0,0.0,0.0,0.0,0.0,0.0,0.5772023759110432,0.0,0.0
Inception,0.0,0.0003029286647047116,0.0,0.0,0.00012267305803747832,7.410986808695135e-05,0.0,0.0,0.00048756394007289105,0.0,0.0,0.0,0.0,0.0005438192913079481,0.0,0.0,6.039920762646864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017800523181736117,0.0,0.0,0.0,5.8764946897529e-05,0.0,0.0,8.031170825146206e-05,0.0005248594626646437,5.751331146029523e-05,0.0,0.0,0.00018218081515810353,0.0,0.0,0.00017576746615738747,0.0003916559065772157,0.0003481925930232812,0.0,0.0005026972212799065,0.0,2.6796327261571977e-05,0.0,0.0,0.00014341460002179903,0.0,0.00011623891268686357,0.0005277264653927211,0.0,0.0,0.0007600174897340955,0.015319797358114883,0.0,0.0,0.0,0.0,0.0003791053724875481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011298251072691455,0.0,0.0,0.0,0.0016021574464895997,0.0009134882415104357,0.0,0.0,0.0,0.0032588043541150425,0.0,0.0,0.0,0.0,0.0026366703323269813,0.0,0.0,0.004932715050363481,0.0,0.0017792686087669293,0.0,0.0,0.0,0.0,0.002960902632960214,0.0,0.0,0.0,0.0,0.0,0.006432659549246608,0.0,0.0,0.0,0.0,0.0,0.0,0.577252923977769,0.577252923977769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577252923977769,0.0,0.0,0.0,0.0
Fight Club,0.0,0.00021887327628202606,0.0005252022634311944,0.0,0.0006962838650524053,2.6003135487092704e-05,0.0,0.0001673899544569606,0.00019892926644525126,0.00017899772721522531,0.002924532025773163,0.00040285864840827377,0.0,0.0003776386678083221,0.02897676993174676,0.0,0.00039923192461111223,0.0,0.0,0.0009123358341652702,0.00028573509896973444,0.0001432997457201469,0.0,0.00021212771085419956,0.00043031009767189633,0.0,0.0,0.0,0.0013506198726805005,0.0009083400182116479,0.0,0.0,0.0,0.00035981223387757837,0.0,0.0,0.000736424192783134,0.0008042218646297897,0.00042974052191767034,6.813082887562783e-05,0.0011010033500641735,0.0,0.0006793803687619271,0.0,4.7199322428147854e-05,0.0,0.0007937819287246755,0.0025216808462508694,0.00088695930292063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019411845052367684,0.0018753181375132449,0.0,0.0020077539149910423,0.0,0.0,0.0,0.0,0.0,0.001881153460271376,0.004183744510638198,0.0008921201280137795,0.0019898068240775247,0.0,0.0038070049545334667,0.00042654846051335353,9.163683485105871e-05,0.0002993836050542374,0.0,0.0009787721942609556,0.0,0.0007679247422580269,0.0,0.00031181795485798704,0.0,0.0033374297198948384,0.0,0.0,0.00014591783933129651,0.0,0.0016881245015509746,0.004312227194066606,0.0,0.0007207100012441733,0.00018058233323164897,0.00576376462386557,0.0,0.008229594210867872,0.008272588916325492,0.0,0.0,0.013702150382317622,0.00218684862933543,0.007335333470784818,0.9993182514744136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
